id|first_name|last_name|Favourite App|Favourite Colour
1|Lyndel|Bolt|Daltfresh|#01e8fa
2|Perla|Levecque|Aerified|#4d72b9
3|Lebbie|Forestall|Ventosanzap|#995fbd
4|Neda|Buggs|Fixflex|#edb221
5|Fidelia|Regitz|Lotlux|#ee8bd1
6|Dottie|Forman|Fixflex|#f24179
7|Godart|Scanes|Y-Solowarm|#ee1564
8|Tracee|Dadd|Fix San|#f1a936
9|Karna|Laville|Holdlamis|#469a07
10|Stacie|Dewar|Quo Lux|#84435b
11|Micheline|Despenser|Voltsillam|#2f9670
12|Pietra|McMychem|Bigtax|#7cdb97
13|Osborn|Dalliwatr|Sub-Ex|#dc5080
14|Emilia|Rounding|Zoolab|#12679f
15|Winnah|Caslake|Aerified|#3eef9e
16|Leena|Pumphrey|Zoolab|#991c24
17|Maynord|Tinline|It|#6add22
18|Edna|Zannutti|Biodex|#21c950
19|Saundra|Megroff|Biodex|#bc45cf
20|Maxy|Lonie|Matsoft|#a8e7ef
21|Penelopa|Witham|Job|#ce6cfc
22|Laura|Sopper|Konklux|#756d66
23|Dwayne|Tuddall|Lotlux|#dff61b
24|Ibbie|Morat|Zathin|#158ef8
25|Joella|Arch|Transcof|#58f444
26|Alejandro|Dudill|Tres-Zap|#2efb49
27|Hoyt|Tinner|Voyatouch|#c63d45
28|Kathrine|Sieur|Domainer|#5d6a08
29|Lorrie|MacGiolla Pheadair|Vagram|#8b5164
30|Maureene|Watmough|Bitwolf|#01a906
31|Daloris|Jedras|Prodder|#851d69
32|Brady|Kiebes|Kanlam|#65af58
33|Clayborn|Teanby|Treeflex|#229612
34|Derward|Whatford|Konklux|#572aff
35|Jasper|Gentle|Sonair|#e73ffb
36|Dewie|MacGillicuddy|Ventosanzap|#f831c4
37|Hayley|Egarr|Keylex|#fe171c
38|Aldric|Isley|Cardify|#0e6ada
39|Glenine|Tytler|Bigtax|#3ec2fc
40|Ashton|Follen|Quo Lux|#71b0cf
41|Sascha|Nendick|Zoolab|#da15aa
42|Bernarr|Grogor|Lotlux|#89a3db
43|Jessalin|Blazi|Asoka|#988274
44|Carmita|Packwood|Lotlux|#bab9f2
45|Filia|Ditty|Tres-Zap|#4e165f
46|Johny|Poter|Gembucket|#f96d77
47|Delilah|Beake|Fintone|#eff889
48|Riva|Cudd|Tresom|#42f723
